LONGITUDE,LATITUDE,DATE,DEPTH,TCARBN,ALKALI,pH_predicted
-172.104,24.0695,20051204,4681,2285.7,2300.8,7.432451772
148.427,35.4878,20050603,5914,2317.9,2417.2,7.611547797
179.0015,-13.497,19930828,3053,2118,2335,7.881018098
179.0035,1.5012,19930816,5522,2244,2319,7.497958691
168.8285,30.0085,19940123,5752,2301,2400,7.604813391
-102.9873,-63.9887,19940301,5018,2157.3,2299,7.731756891
-163.0055,-17.4972,20090529,4830,2300.8,2397.1,7.604826911
-166.7315,24.5052,20051130,3370,2034,2306.3,8.067396456
175.5007,38.5027,19990808,4522,2071,2270.7,7.929874566
155,42,20070923,5438,2285.8,2305.1,7.407629741
175.4988,40.002,19990807,5309,2376.3,2397.4,7.495582302
-169.3327,22.7522,20051202,4691,2316.9,2406.6,7.614394329
-144.5797,29.9988,19940204,4510,2367,2428,7.516211907
-150,-40.9995,20050124,5122,2165.2,2284.8,7.691122941
-168.759,-3.0043,19941102,5337,2310.7,2416.6,7.625858141
-130.031,46.9802,20070827,2631,2246.6,2275.4,7.477635209
178.9935,15.5092,20071115,5327,2056.5,2305.2,7.993307789
-142.0808,71.848,20020916,2889,2156.8,2302.6,7.757102259
178.9958,0.739,19930817,5525,2124,2316,7.878188732
-110,12.0833,20071223,3728,2359.3,2427.2,7.562632741
-170.0003,-12.9995,20010625,5053,2271.2,2347.1,7.568040746
145,40,19981119,5700,1989.7,2234.2,8.06485746
172.5,57,20040825,3728,2385.7,2415,7.488347362
-150.9982,0.9935,19910916,3763,2257.4,2314.1,7.499340398
-82.0027,-16.7437,20090421,4548,2334,2405,7.565297983
-110.0382,-1.9158,20071231,3932,2342.5,2407.1,7.562818327
-169.9983,-22.5,19960224,5609,2243.8,2337.4,7.594577706
-135.0105,23.9967,20051108,4842,2352.9,2427.2,7.576087213
-152.2202,54,20060327,4393,2341.4,2323.7,7.382284956
164.9745,30.6885,19920910,5559,2015.8,2280.2,8.038983854
-103.0002,-20.5,20080112,4031,2077,2374.4,8.057473859
-103.0097,-52.5038,19940309,4412,2118.6,2279,7.810644769
155,27.5,20010702,6043,2090.4,2271.7,7.877519435
137.1683,29.9838,20040621,4321,1996.1,2289.8,8.101134195
-110.0005,-5.0125,20080102,3581,2321.9,2385.6,7.601415596
160,34.998,20040411,4542,2377.7,2406.2,7.492974707
-152,53,20060327,4446,2333,2317.5,7.334004231
155,44,20060718,5325,2376.7,2407.2,7.49543016
-110.6678,-32.4885,20030925,3026,2149.6,2283.4,7.732792165
178.3327,-18.4155,20090606,2017,2262.5,2349.8,7.591965388
-135.0095,35.5038,20010809,5229,1988.4,2215.9,8.04978716
-109.9775,0.0005,20071230,3812,2345.8,2417.7,7.567859726
149.2778,29.1612,19931103,5974,2335,2415.1,7.576784723
153.5582,24.2057,20051228,5413,1992.3,2301.2,8.119894299
179.0007,-10.002,19930826,4755,2281,2380,7.596458296
-172.299,-9.8585,19940212,3905,2233.5,2310.1,7.523989808
139.4148,24.2268,20060105,4784,2348.5,2402.5,7.560302294
-76.0138,-16.7337,19940403,4117,2307,2408,7.599033746
179.9997,0.0008,19930818,5262,2301,2358,7.594362267
-81.3243,-32.5022,20031006,3913,2292.2,2397.1,7.609546679
